City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tungao,PH,2020-11-19 05:38:16,8.78,125.57,87.42,69,52,2.51
70,Porto Murtinho,BR,2020-11-19 05:38:16,-21.7,-57.88,60.84,92,2,3.11
71,Hamilton,US,2020-11-19 05:38:16,39.18,-84.53,42.01,55,1,4.7
72,Matara,LK,2020-11-19 05:38:17,5.95,80.54,81.79,80,98,5.28
73,San Cristobal,VE,2020-11-19 05:38:17,7.77,-72.22,66.94,84,93,1.99
74,Saskylakh,RU,2020-11-19 05:38:17,71.92,114.08,18.97,95,100,18.77
75,Erdenet,MN,2020-11-19 05:38:18,49.03,104.08,17.56,94,100,5.12
76,Kanniyakumari,IN,2020-11-19 05:38:18,8.08,77.57,82.24,75,97,18.72
77,Palmdale,US,2020-11-19 05:37:37,34.58,-118.12,55.4,66,1,10.29
78,Kapaa,US,2020-11-19 05:38:18,22.08,-159.32,77.0,88,90,19.46
79,Narsaq,GL,2020-11-19 05:38:18,60.92,-46.05,41.0,35,100,18.34
80,Vaini,TO,2020-11-19 05:38:19,-21.2,-175.2,78.8,83,75,10.29
81,Kovdor,RU,2020-11-19 05:38:19,67.57,30.48,31.6,99,100,3.4
82,Skelleftea,SE,2020-11-19 05:38:19,64.75,20.95,33.01,97,90,10.29
83,Cape Town,ZA,2020-11-19 05:35:33,-33.93,18.42,66.0,59,0,16.11
84,Iranshahr,IR,2020-11-19 05:38:19,27.2,60.68,68.0,32,0,1.59
85,Puerto Ayora,EC,2020-11-19 05:38:20,-0.74,-90.35,70.0,89,50,4.0
86,Novyy Buh,UA,2020-11-19 05:38:20,47.69,32.52,28.4,92,90,6.71
87,Atuona,PF,2020-11-19 05:38:21,-9.8,-139.03,78.17,76,23,13.2
88,Lonavale,IN,2020-11-19 05:38:21,18.75,73.42,89.6,55,40,5.82
89,Yangambi,CD,2020-11-19 05:38:21,0.81,24.43,75.15,83,93,3.69
90,Superior,US,2020-11-19 05:38:21,46.72,-92.1,42.01,93,1,6.33
91,Camana,PE,2020-11-19 05:38:21,-16.62,-72.71,63.23,75,54,6.24
92,Najran,SA,2020-11-19 05:38:22,17.49,44.13,66.2,34,0,6.93
93,Damavand,IR,2020-11-19 05:38:22,35.72,52.06,44.6,87,75,6.93
94,Teya,RU,2020-11-19 05:38:22,60.38,92.63,14.27,93,100,6.35
95,Verkhniy Baskunchak,RU,2020-11-19 05:38:22,48.23,46.72,24.91,85,0,11.95
96,Buraydah,SA,2020-11-19 05:38:23,26.33,43.98,57.2,67,0,13.51
97,Karatau,KZ,2020-11-19 05:38:23,43.17,70.47,16.88,94,98,4.05
98,Nuevo Progreso,MX,2020-11-19 05:38:23,23.17,-97.95,69.01,69,5,3.38
99,Arti,RU,2020-11-19 05:38:23,56.42,58.53,15.39,88,0,9.91
100,Bengkulu,ID,2020-11-19 05:38:23,-3.8,102.27,85.1,72,65,9.53
101,Montepuez,MZ,2020-11-19 05:38:24,-13.13,39.0,84.07,53,34,5.77
102,Caravelas,BR,2020-11-19 05:38:24,-17.71,-39.25,76.93,85,100,10.74
103,Tuktoyaktuk,CA,2020-11-19 05:38:24,69.45,-133.04,-0.4,84,5,6.93
104,Ribeira Grande,PT,2020-11-19 05:38:24,38.52,-28.7,58.98,62,1,8.14
105,Ixtapa,MX,2020-11-19 05:38:24,20.7,-105.2,77.0,74,0,3.4
106,Kruisfontein,ZA,2020-11-19 05:38:25,-34.0,24.73,61.0,93,99,1.01
107,Kalmunai,LK,2020-11-19 05:38:25,7.42,81.82,85.23,68,98,10.11
108,Arlit,NE,2020-11-19 05:38:25,18.74,7.39,63.01,30,0,5.37
109,Axim,GH,2020-11-19 05:38:25,4.87,-2.24,77.43,88,17,5.82
110,Havelock,US,2020-11-19 05:38:26,34.88,-76.9,41.0,69,1,6.93
111,Bathsheba,BB,2020-11-19 05:38:26,13.22,-59.52,78.8,83,40,14.99
112,Terney,RU,2020-11-19 05:38:26,45.05,136.61,31.14,97,100,17.85
113,Butaritari,KI,2020-11-19 05:38:26,3.07,172.79,82.45,75,32,19.89
114,Lasa,IT,2020-11-19 05:38:26,46.62,10.7,35.6,46,5,4.7
115,Salamiyah,SY,2020-11-19 05:38:01,35.01,37.05,58.3,43,68,8.55
116,Alenquer,BR,2020-11-19 05:34:31,-1.94,-54.74,73.4,94,75,3.36
117,Roma,US,2020-11-19 05:35:18,43.21,-75.46,24.8,73,1,6.93
118,Acari,PE,2020-11-19 05:38:27,-15.43,-74.62,63.23,70,41,3.29
119,Margate,GB,2020-11-19 05:38:27,51.38,1.39,48.99,69,14,5.01
120,Provideniya,RU,2020-11-19 05:38:28,64.38,-173.3,35.6,97,90,2.3
121,Vanimo,PG,2020-11-19 05:38:28,-2.67,141.3,85.71,66,76,5.93
122,Kodiak,US,2020-11-19 05:38:28,57.79,-152.41,24.8,73,1,6.93
123,Kampene,CD,2020-11-19 05:38:28,-3.6,26.67,70.34,93,99,1.95
124,Coxim,BR,2020-11-19 05:38:29,-18.51,-54.76,73.42,92,88,7.09
125,Sumbe,AO,2020-11-19 05:38:29,-11.21,13.84,76.6,82,100,5.88
126,Sungaipenuh,ID,2020-11-19 05:38:29,-2.08,101.38,75.54,85,82,1.34
127,Norman Wells,CA,2020-11-19 05:38:29,65.28,-126.83,1.4,84,20,4.7
128,Barkot,IN,2020-11-19 05:38:30,30.82,78.2,63.34,30,0,5.14
129,Mar Del Plata,AR,2020-11-19 05:34:59,-38.0,-57.56,50.0,100,0,3.36
130,Tulsipur,NP,2020-11-19 05:38:30,28.13,82.3,75.69,26,0,6.64
131,San Patricio,US,2020-11-19 05:38:30,28.02,-97.52,66.0,82,1,6.93
132,Kouango,CF,2020-11-19 05:38:31,4.99,19.96,76.93,71,2,0.74
