City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Vila Franca Do Campo,PT,37.72,-25.43,55.4,58,20,12.75,few clouds
83,Lukulu,ZM,-14.37,23.24,68.56,87,100,3.42,overcast clouds
84,Port Blair,IN,11.67,92.75,80.96,79,34,9.62,scattered clouds
85,Tual,ID,-5.67,132.75,84.31,66,100,2.86,overcast clouds
86,Shingu,JP,33.73,135.98,57.2,76,75,5.82,broken clouds
87,Zeya,RU,53.75,127.27,6.96,87,0,6.11,clear sky
88,Hermanus,ZA,-34.42,19.23,55.99,69,72,3.0,broken clouds
89,Carbunari,RO,44.83,21.74,37.99,85,0,3.38,clear sky
90,Victoria,HK,22.29,114.16,72.0,81,26,15.28,scattered clouds
91,San Cristobal,VE,7.77,-72.22,80.6,78,40,2.24,scattered clouds
92,Souillac,MU,-20.52,57.52,75.2,88,75,10.29,shower rain
93,Rawson,AR,-43.3,-65.1,69.8,37,40,11.41,scattered clouds
94,Daru,PG,-9.08,143.21,84.87,71,96,5.5,light rain
95,Iquitos,PE,-3.75,-73.25,87.8,70,0,2.24,clear sky
96,Zavyalovo,RU,54.51,82.45,21.2,85,90,4.47,light snow
97,Kavieng,PG,-2.57,150.8,84.72,73,100,9.35,overcast clouds
98,Husavik,IS,66.04,-17.34,26.6,92,90,12.53,overcast clouds
99,Faya,SA,18.39,42.45,59.0,87,0,2.71,clear sky
100,Eyrarbakki,IS,63.86,-21.15,32.0,91,0,13.87,clear sky
101,Hithadhoo,MV,-0.6,73.08,81.59,79,0,12.03,clear sky
102,Topolobampo,MX,25.6,-109.05,82.4,23,5,11.41,clear sky
103,Tura,IN,25.52,90.22,59.27,88,28,3.89,scattered clouds
104,Henties Bay,NA,-22.12,14.28,57.99,88,0,9.46,clear sky
105,Brainerd,US,46.36,-94.2,33.8,97,90,2.57,mist
106,Lamont,US,35.26,-118.91,64.99,55,0,3.0,clear sky
107,Broken Hill,AU,-31.95,141.43,77.0,29,5,8.05,clear sky
108,Butaritari,KI,3.07,172.79,82.17,80,40,20.27,light rain
109,Bethel,US,41.37,-73.41,36.0,64,1,3.6,clear sky
110,Longyearbyen,SJ,78.22,15.64,26.6,92,90,5.82,light snow
111,Rio Grande,BR,-32.03,-52.1,73.99,84,0,3.0,clear sky
112,Sembe,CG,1.65,14.58,72.21,86,100,1.01,light rain
113,Fairbanks,US,64.84,-147.72,6.01,77,75,1.12,broken clouds
114,Estreito,BR,-5.78,-43.25,77.22,73,46,2.73,scattered clouds
115,Praya,CV,14.92,-23.51,78.8,78,0,9.17,clear sky
